"","pincode","district_key","District","Persons","Males","Females","Growth..1991...2001.","Rural","Urban","Scheduled.Caste.population","Percentage...SC.to.total","Number.of.households","Household.size..per.household.","Sex.ratio..females.per.1000.males.","Sex.ratio..0.6.years.","Scheduled.Tribe.population","Percentage.to.total.population..ST.","Persons..literate","Males..Literate","Females..Literate","Persons..literacy.rate","Males..Literatacy.Rate","Females..Literacy.Rate","Total.Educated","Data.without.level","Below.Primary","Primary","Middle","Matric.Higher.Secondary.Diploma","Graduate.and.Above","X0...4.years","X5...14.years","X15...59.years","X60.years.and.above..Incl..A.N.S..","Total.workers","Main.workers","Marginal.workers","Non.workers","SC.1.Name","SC.1.Population","SC.2.Name","SC.2.Population","SC.3.Name","SC.3.Population","Religeon.1.Name","Religeon.1.Population","Religeon.2.Name","Religeon.2.Population","Religeon.3.Name","Religeon.3.Population","ST.1.Name","ST.1.Population","ST.2.Name","ST.2.Population","ST.3.Name","ST.3.Population","Imp.Town.1.Name","Imp.Town.1.Population","Imp.Town.2.Name","Imp.Town.2.Population","Imp.Town.3.Name","Imp.Town.3.Population","Total.Inhabited.Villages","Drinking.water.facilities","Safe.Drinking.water","Electricity..Power.Supply.","Electricity..domestic.","Electricity..Agriculture.","Primary.school","Middle.schools","Secondary.Sr.Secondary.schools","College","Medical.facility","Primary.Health.Centre","Primary.Health.Sub.Centre","Post..telegraph.and.telephone.facility","Bus.services","Paved.approach.road","Mud.approach.road","Permanent.House","Semi.permanent.House","Temporary.House"
"2918",600005,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2919",600094,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2920",600086,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2921",600006,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2922",600017,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2923",600014,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2924",600034,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2925",600004,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2926",600018,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2927",600082,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2928",600030,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2929",600102,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2930",600040,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2931",600101,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2932",600106,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2933",600023,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2934",600031,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2935",600003,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2936",600008,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2937",600001,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2938",600084,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2939",600009,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2940",600104,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2941",600038,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2942",600010,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2943",600012,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2944",600011,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2945",600013,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2946",600081,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2947",600007,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2948",600039,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2949",600021,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
"2950",600020,"Chennai","District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,"9.76","-",NA,NA,NA,962213,5,957,972,"6728","0.15",3336695,1799981,1536714,85.33,90.01,80.44,3336695,113528,332748,670347,570677,1108847,540339,299356,714994,2850178,479117,1488364,1380757,107607,2855281,"1.Adi Dravida",531326,"2.Adi Andhra",25320,"3.Generic Castes etc.",15205,"1.Hindus",3573356,"2.Muslims",379206,"3.Christians",331261,"1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)",4343645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,7.2,5.6
